co_carta_consulta,no_projeto,sg_projeto,sg_fonte,va_dolar,no_unidade_federal,co_sujeito,no_tecnico,no_setor,informacoes,fase,dt_assinatura,dt_ultimo_desembolso_vigente,no_abrangencia_nacional,aggregation,tipo_operacao,co_executor,no_executor
"59714","Fortalecimento da Gestão por Resultados nas Políticas de Desenvolvimento Social","DOAÇÃO PRODEV MDS","BID/PRODEV","400000.0","","1079","Manuella Damasceno Louzada","Assistência Social","","Arquivado","","","Federal","2272","Doação","801","Secretaria Nacional de Renda de Cidadania - SENARC/MDS"
"59854","Doação - Geração de processos de integração regional intercultural em Estudos Superiores na região de Madre de Dios (Perú), Acre (Brasil) e Pando (Bolívia).","Doação UF-ACRE","EU","1638461.0","Estado do Acre","828","Neuseli Ayres do Couto Castanheira","Educação","(61) 2020-4818","Em preparação","","","Federal","2272","Doação","828","Universidade Federal do Acre - AC"
"58145","Fortalec. da Capac. Gerencial, Normat. e Oper. da Sec. Faz do Acre","TRIBUTÁRIO - AC","BID","7200000.0","Estado do Acre","852","Wanda Dias Fonseca Taquary","Administração","(61) 2020-4847","Arquivado","","","Estadual","2272","Financiamento","408","Governo do Estado do Acre"
"58762","Programa de Desenvolvimento Sustentável do Acre - 2ª Fase","Desenv. Sustentável Acre II","BID","7.2E7","Estado do Acre","852","Rosangela Moreira Castelo Branco","Gestão Ambiental","(61) 2020-4809","Em execução","17/07/2013 00:00","17/07/2018 00:00","Estadual","2272","Financiamento","408","Governo do Estado do Acre"
"58730","Programa de Desenvolvimento Sustentável do Acre- 1ª Fase","Desenv. Sustentável Acre I","BID","6.48E7","Estado do Acre","852","Rosangela Moreira Castelo Branco","Gestão Ambiental","(61) 2020-4809","Finalizada","23/06/2002 00:00","23/05/2010 00:00","Estadual","2272","Financiamento","0",""
"59751","Projeto de Apoio à Modernização da Gestão Fiscal do Estado do Acre","PROFISCO/AC","BID","7000000.0","Estado do Acre","852","Isis Smidt Lara Resende","Administração","(61) 2020-4832","Arquivado","","","Estadual","2272","Financiamento","619","Secretaria de Estado da Fazenda do Acre"
"59510","Programa de Inclusão Social e Desenvolvimento Econômico Sustentável do Estado do Acre","PROACRE","BIRD","1.2E8","Estado do Acre","852","Neuseli Ayres do Couto Castanheira","Educação","(61) 2020-4818","Em execução","19/12/2008 00:00","31/03/2015 00:00","Estadual","2272","Financiamento","644","Secretaria de Estado de Planejamento do Acre"
"59881","Programa de Saneamento Ambiental e Inclusão Socioeconômica do Acre","PROSER - AC","BIRD","1.5E8","Estado do Acre","852","Neuseli Ayres do Couto Castanheira","Saneamento","(61) 2020-4818","Em execução","08/01/2014 00:00","31/12/2020 00:00","Estadual","2272","Financiamento","644","Secretaria de Estado de Planejamento do Acre"
"58868","Programa de Zoneamento Agroecológico e Sócio-Econômico do Estado do Acre","SÓCIO-ECONÔMICO","KfW","6600000.0","Estado do Acre","852","Antônio Sabino da Costa Filho","Encargos Especiais","","Arquivado","","","Estadual","2272","Financiamento","408","Governo do Estado do Acre"
"13052","Projeto de Apoio à Modernização da Gestão Fazendária do Estado do Acre","PROMOFAZ - AC","BID","2.25E7","Estado do Acre","852","Isis Smidt Lara Resende","Administração","(61) 2020-4832","Aguardando Assinatura","","10/10/2015 00:00","Estadual","2272","Financiamento","619","Secretaria de Estado da Fazenda do Acre"
